Materials,Piezoelectric_Modulus,Crystal_Symmetry,mp_id
Cs3W2N5,0.263315646,tetragonal,mp-1119092
ErSbPd,0.283313333,cubic,mp-11836
Zn2NCl,4.137267057,orthorhombic,mp-1189171
Cs3SbSe3,0.0381,cubic,mp-1192816
Cs3SbS3,0.10118,cubic,mp-1193894
Rb6CdO4,0.092765944,hexagonal,mp-1209286
Hg3(SeF)2,0.25806,cubic,mp-1212164
GaClO,0.2981903,orthorhombic,mp-1212662
Cs2Pb2O3,0.0308,cubic,mp-1213706
CaGaH5,0.138191706,monoclinic,mp-1213976
Ca3SbI3,0,cubic,mp-1214080
LiFeF6,0.075623533,tetragonal,mp-1222351
CoPS,0.07158,cubic,mp-1226003
Cd3PI3,0.686872596,monoclinic,mp-1226891
CdGeN2,1.971974936,orthorhombic,mp-1245535
CaCr2O4,0.747934309,trigonal,mp-1301869
Er2Ge2O7,0.113415,tetragonal,mp-13643
Cd(GaTe2)2,0.096506605,tetragonal,mp-13949
Rb2ThF6,0.305148393,hexagonal,mp-13978
TlCSe2,0.048995508,tetragonal,mp-14090
K2GeF6,0.261798371,hexagonal,mp-14168
K2ThF6,0.373610475,hexagonal,mp-14193
K6CoS4,0.37514906,hexagonal,mp-14794
K6CoSe4,0.376882542,hexagonal,mp-14795
Lu2Cu2O5,0.165449953,orthorhombic,mp-15335
CaC2F8,0.1792687,tetragonal,mp-1539136
RbCr5S8,0.111223894,monoclinic,mp-1539137
CsPbCl3,0,tetragonal,mp-1539667
RbPbF3,0.818666947,trigonal,mp-1540546
